num,store,address,review,score,
175,서귀포여자고등학교,제주특별자치도 서귀포시 태평로 80,2,5,
176,제주과학고등학교,제주특별자치도 제주시 산록북로 421-1,0,0,
177,이도초등학교,제주특별자치도 제주시 구남동2길 58,0,5,
178,이도초등학교 병설유치원,제주특별자치도 제주시 구남동2길 58,0,5,
179,제주 중앙여자고등학교,제주특별자치도 제주시 구남동5길 11,0,3,
180,남광초등학교,제주특별자치도 제주시 남광로 28,1,3.7,
181,제주제일중학교,제주특별자치도 제주시 남광로 33,1,3,
182,제주제일중학교부설 방송통신중학교,제주특별자치도 제주시 남광로 33,0,0,
183,인화초등학교,제주특별자치도 제주시 신산로15길 35,1,3.8,
184,제주동부청소년경찰학교,제주특별자치도 제주시 동광로 8,0,0,
185,인화초등학교 병설유치원,제주특별자치도 제주시 신산로15길 35,1,3.8,
186,제주동초등학교,제주특별자치도 제주시 동문로 65,1,1,
187,제주여자상업고등학교,제주특별자치도 제주시 동문로 89-1,1,3,
188,제주동초등학교병설유치원,제주특별자치도 제주시 동문로 65,0,0,
189,서귀포여자중학교,제주특별자치도 서귀포시 일주동로 8820,3,0,
190,아라초등학교,제주특별자치도 제주시 중앙로 518,4,5,
191,아라초등학교 병설유치원,제주특별자치도 제주시 중앙로 518,0,0,
192,제주여자고등학교,제주특별자치도 제주시 구산로 50,2,1.5,
193,아라중학교,제주특별자치도 제주시 간월동로 30,0,0,
194,제주영지학교,제주특별자치도 제주시 간월동로3길 15,1,3.7,
195,제주여자중학교,제주특별자치도 제주시 구산로 50,1,3.7,
196,아이소마,제주특별자치도 제주시 중앙로 457 아름다운교회 교육관,10,,
197,다솜발달장애인대안학교,제주특별자치도 제주시 간월동로 14-1,0,0,
198,탐라중학교,제주특별자치도 제주시 신설로 56,0,4,
199,동광초등학교,제주특별자치도 제주시 태성로 6,2,5,
200,제주동여자중학교,제주특별자치도 제주시 천수로 24,2,0,
201,동광초등학교 병설유치원,제주특별자치도 제주시 태성로 6,0,0,
202,제주장애인야간학교,제주특별자치도 제주시 천수동로 30,1,0,
203,서귀북초등학교,제주특별자치도 서귀포시 중앙로 175,1,5,
204,서귀서초등학교,제주특별자치도 서귀포시 솜반천로 38,1,0,
