861496669, 제비상회, 음식점, 제주특별자치도 제주시 한경면 신한로 45, 126.18744482939671, 33.34846249427969, 음식점 > 퓨전요리,제주특별자치도 제주시 한경면 신창리 189-1
1853284280, 그린사이공, 음식점, 제주특별자치도 제주시 한경면 두신로 38, 126.18321725355858, 33.34643322912679, 음식점 > 아시아음식 > 동남아음식 > 베트남음식,제주특별자치도 제주시 한경면 신창리 463-1
8403032, 사랑식당, 음식점, 제주특별자치도 제주시 한경면 두신로 46, 126.18290240027434, 33.347134398138444, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리 460-2
620127173, 신창흑돼지두루치기 신창점, 음식점, 제주특별자치도 제주시 한경면 두신로 74-1, 126.18296467061953, 33.34966827554316, 음식점 > 한식 > 육류,고기 > 불고기,두루치기,제주특별자치도 제주시 한경면 신창리 266
1400201049, 모몽더티하우스, 카페, 제주특별자치도 제주시 한경면 신한로 10, 126.184048774025, 33.3497655628861, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 253-4
10328353, 모살왓가든, 음식점, 제주특별자치도 제주시 한경면 두신로 21-28, 126.1814865922036, 33.34471963159111, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 신창리 570-1
26322793, 제주모퉁이돌, 음식점, 제주특별자치도 제주시 한경면 신한로 12, 126.18426420335724, 33.34970386699453, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리 253-3
868062632, 요나스, 카페, 제주특별자치도 제주시 한경면 신한로 17, 126.185016179169, 33.3497051982768, 음식점 > 카페 > 테마카페 > 디저트카페,제주특별자치도 제주시 한경면 신창리 229-1
894947470, 아방도르다, 음식점, 제주특별자치도 제주시 한경면 두신로 68, 126.18273687986897, 33.34898337148941, 음식점 > 일식 > 돈까스,우동,제주특별자치도 제주시 한경면 신창리 409-1
13607955, 세가름, 음식점, 제주특별자치도 제주시 한경면 신한로 20, 126.18509232447667, 33.34937301131816, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리 151-2
1992713227, 청은국수, 음식점, 제주특별자치도 제주시 한경면 두신로 70, 126.18278245973009, 33.3491639894263, 음식점 > 한식 > 국수,제주특별자치도 제주시 한경면 신창리 416
17182988, 만인정, 음식점, 제주특별자치도 제주시 한경면 두신로 58, 126.182787900154, 33.3481217873375, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리 393
